tipo,ano_mes,emit_doc,chave,numero,serie,vNF,vProd,vICMS,vIPI,primeiro_cfop,primeiro_desc
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
compra,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,2501,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
compra,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,2501,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,2501,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,2501,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,2501,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,25682864000242,35230625682864000242550010000121141531969805,12114,1,139.90,139.90,,,6108,Camisa Feminina Umbro Sport Recife Iii Laranja 2021
venda,2025-10,25682864000242,35230625682864000242550010000121141531969805,12114,1,139.90,139.90,,,6108,Camisa Feminina Umbro Sport Recife Iii Laranja 2021
venda,2025-10,03846192000140,41230503846192000140550020001052301029947626,105230,2,41.00,41.00,1.64,,6108,BAQUETA PRO-MARK LA7AW HICKORY
venda,2025-10,03846192000140,41230503846192000140550020001052301029947626,105230,2,41.00,41.00,1.64,,6108,BAQUETA PRO-MARK LA7AW HICKORY
venda,2025-10,25682864000242,35230625682864000242550010000121141531969805,12114,1,139.90,139.90,,,6108,Camisa Feminina Umbro Sport Recife Iii Laranja 2021
venda,2025-10,03846192000140,41230503846192000140550020001052301029947626,105230,2,41.00,41.00,1.64,,6108,BAQUETA PRO-MARK LA7AW HICKORY
venda,2025-10,03846192000140,41230503846192000140550020001052301029947626,105230,2,41.00,41.00,1.64,,6108,BAQUETA PRO-MARK LA7AW HICKORY
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,03846192000140,41230503846192000140550020001052301029947626,105230,2,41.00,41.00,1.64,,6108,BAQUETA PRO-MARK LA7AW HICKORY
venda,2025-10,25682864000242,35230625682864000242550010000121141531969805,12114,1,139.90,139.90,,,6108,Camisa Feminina Umbro Sport Recife Iii Laranja 2021
compra,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,2501,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,03846192000140,41230503846192000140550020001052301029947626,105230,2,41.00,41.00,1.64,,6108,BAQUETA PRO-MARK LA7AW HICKORY
venda,2025-10,25682864000242,35230625682864000242550010000121141531969805,12114,1,139.90,139.90,,,6108,Camisa Feminina Umbro Sport Recife Iii Laranja 2021
compra,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,2501,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,03846192000140,41230503846192000140550020001052301029947626,105230,2,41.00,41.00,1.64,,6108,BAQUETA PRO-MARK LA7AW HICKORY
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,03846192000140,41230503846192000140550020001052301029947626,105230,2,41.00,41.00,1.64,,6108,BAQUETA PRO-MARK LA7AW HICKORY
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,03846192000140,41230503846192000140550020001052301029947626,105230,2,41.00,41.00,1.64,,6108,BAQUETA PRO-MARK LA7AW HICKORY
venda,2025-10,25682864000242,35230625682864000242550010000121141531969805,12114,1,139.90,139.90,,,6108,Camisa Feminina Umbro Sport Recife Iii Laranja 2021
compra,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,2501,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,25682864000242,35230625682864000242550010000121141531969805,12114,1,139.90,139.90,,,6108,Camisa Feminina Umbro Sport Recife Iii Laranja 2021
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,25682864000242,35230625682864000242550010000121141531969805,12114,1,139.90,139.90,,,6108,Camisa Feminina Umbro Sport Recife Iii Laranja 2021
compra,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,2501,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,09376495000122,42240809376495000122550020032417721870048250,3241772,2,274.19,249.99,19.19,,6108,"Fonte Corsair CV Series CV550 80 Plus Bronze 550W, CP-9020210-BR"
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,05573850000100,35250505573850000100550020008873831429778116,887383,2,668.28,668.28,,,6102,Biblia Revelada Omega Di Nelson Versiculo Por Versiculo Nt
venda,2025-10,03846192000140,41230503846192000140550020001052301029947626,105230,2,41.00,41.00,1.64,,6108,BAQUETA PRO-MARK LA7AW HICKORY
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
venda,2025-10,03846192000140,41230503846192000140550020001052301029947626,105230,2,41.00,41.00,1.64,,6108,BAQUETA PRO-MARK LA7AW HICKORY
venda,2025-10,25682864000242,35230625682864000242550010000121141531969805,12114,1,139.90,139.90,,,6108,Camisa Feminina Umbro Sport Recife Iii Laranja 2021
venda,2025-10,18983263000123,35250718983263000123550090055849311224791513,5584931,9,449.10,499.00,31.44,,6106,"Smartphone Positivo Twist 5 Pro 64gb 2gb 6,26 Black Rubber"
